Alloy,Processing condition,Testing condition,Property,Value,Unit
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-41.25,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-39.95,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-27.89,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-33.67,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-8.44,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-9.89,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-5.94,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-0.48,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-9.29,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-30.75,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-38.07,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-44.19,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-49.12,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-53.96,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-54.99,kJ/mol
Zrx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-52.71,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-33.15,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-33.31,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-30.75,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-32.61,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-31.87,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-31.47,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-31.63,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-32.44,kJ/mol
Vx,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-31.4,kJ/mol
Tix,-,nan,Hydride Formation Enthalpy,-11.28,kJ/mol
Tix,-,nan,Hydride Formation Enthalpy,-30.59,kJ/mol
Tix,-,nan,Hydride Formation Enthalpy,-38.86,kJ/mol
Tix,-,nan,Hydride Formation Enthalpy,-40.51,kJ/mol
Tix,-,nan,Hydride Formation Enthalpy,-27.88,kJ/mol
BCC,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-50.34,kJ/mol
BCC,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-34.83,kJ/mol
BCC,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-61.33,kJ/mol
Cu0.5CoCrFeNi,as-cast; ID,-,Chemical Composition,Cu: 68; Co: 7; Cr: 8; Fe: 7; Ni: 10,at%
Cu0.5CoCrFeNi,as-cast; DR,-,Chemical Composition,Cu: 10; Co: 22; Cr: 24; Fe: 22; Ni: 22,at%
Cu0.5CoCrFeNi,350 degC; ID,-,Chemical Composition,Cu: 71; Co: 6; Cr: 6; Fe: 6; Ni: 11,at%
Cu0.5CoCrFeNi,350 degC; DR,-,Chemical Composition,Cu: 10; Co: 23; Cr: 23; Fe: 23; Ni: 21,at%
Cu0.5CoCrFeNi,500 degC; ID,-,Chemical Composition,Cu: 70; Co: 7; Cr: 6; Fe: 7; Ni: 11,at%
Cu0.5CoCrFeNi,500 degC; DR,-,Chemical Composition,Cu: 9; Co: 25; Cr: 22; Fe: 23; Ni: 20,at%
Cu0.5CoCrFeNi,650 degC; ID,-,Chemical Composition,Cu: 72; Co: 6; Cr: 6; Fe: 6; Ni: 9,at%
Cu0.5CoCrFeNi,650 degC; DR,-,Chemical Composition,Cu: 13; Co: 21; Cr: 24; Fe: 22; Ni: 19,at%
Cu0.5CoCrFeNi,800 degC; ID,-,Chemical Composition,Cu: 72; Co: 6; Cr: 5; Fe: 6; Ni: 9,at%
Cu0.5CoCrFeNi,800 degC; DR,-,Chemical Composition,Cu: 15; Co: 19; Cr: 27; Fe: 20; Ni: 20,at%
Cu0.5CoCrFeNi,950 degC; ID,-,Chemical Composition,Cu: 73; Co: 6; Cr: 5; Fe: 6; Ni: 9,at%
Cu0.5CoCrFeNi,950 degC; DR,-,Chemical Composition,Cu: 8; Co: 23; Cr: 22; Fe: 23; Ni: 22,at%
Cu0.5CoCrFeNi,ID,Aging temperature: 1100 degC,Chemical Composition,Cu: 62; Co: 9; Cr: 10; Fe: 8; Ni: 8,at%
Cu0.5CoCrFeNi,DR,Aging temperature: 1100 degC,Chemical Composition,Cu: 28; Co: 23; Cr: 24; Fe: 20; Ni: 8,at%
Cu0.5CoCrFeNi,CP,Aging temperature: 1100 degC,Chemical Composition,Cu: 4; Co: 20; Cr: 35; Fe: 27; Ni: 3,at%
Cu0.5CoCrFeNi,ID,Aging temperature: 1250 degC,Chemical Composition,Cu: 66; Co: 9; Cr: 10; Fe: 9; Ni: 6,at%
Cu0.5CoCrFeNi,DR,Aging temperature: 1250 degC,Chemical Composition,Cu: 23; Co: 24; Cr: 24; Fe: 21; Ni: 8,at%
Cu0.5CoCrFeNi,CP,Aging temperature: 1250 degC,Chemical Composition,Cu: 5; Co: 6; Cr: 82; Fe: 5; Ni: 2,at%
Cu0.5CoCrFeNi,ID,Aging temperature: 1350 degC,Chemical Composition,Cu: 67; Co: 9; Cr: 10; Fe: 8; Ni: 5,at%
Cu0.5CoCrFeNi,DR,Aging temperature: 1350 degC,Chemical Composition,Cu: 22; Co: 23; Cr: 23; Fe: 22; Ni: 9,at%
Cu0.5CoCrFeNi,CP,Aging temperature: 1350 degC,Chemical Composition,Cu: 5; Co: 6; Cr: 80; Fe: 5; Ni: 4,at%
Cu0.5CoCrFeNi,As-cast,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.28,VSCE
Cu0.5CoCrFeNi,As-cast,3.5% NaCl solution at 25 degC,Corrosion Current Density,2.03 x 10-9,A cm-2
Cu0.5CoCrFeNi,As-cast,3.5% NaCl solution at 25 degC,Pitting Potential,0.07,VSCE
Cu0.5CoCrFeNi,350 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.51,VSCE
Cu0.5CoCrFeNi,350 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,3.91 x 10-8,A cm-2
Cu0.5CoCrFeNi,350 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.06,VSCE
Cu0.5CoCrFeNi,500 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.42,VSCE
Cu0.5CoCrFeNi,500 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,1.17 x 10-7,A cm-2
Cu0.5CoCrFeNi,500 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.06,VSCE
Cu0.5CoCrFeNi,650 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.49,VSCE
Cu0.5CoCrFeNi,650 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,2.11 x 10-8,A cm-2
Cu0.5CoCrFeNi,650 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.02,VSCE
Cu0.5CoCrFeNi,800 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.29,VSCE
Cu0.5CoCrFeNi,800 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,1.71 x 10-8,A cm-2
Cu0.5CoCrFeNi,800 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.01,VSCE
Cu0.5CoCrFeNi,950 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.43,VSCE
Cu0.5CoCrFeNi,950 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,1.10 x 10-7,A cm-2
Cu0.5CoCrFeNi,950 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.03,VSCE
Cu0.5CoCrFeNi,1100 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.4,VSCE
Cu0.5CoCrFeNi,1100 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,1.41 x 10-7,A cm-2
Cu0.5CoCrFeNi,1100 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.05,VSCE
Cu0.5CoCrFeNi,1250 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.27,VSCE
Cu0.5CoCrFeNi,1250 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,5.13 x 10-9,A cm-2
Cu0.5CoCrFeNi,1250 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.04,VSCE
Cu0.5CoCrFeNi,1350 degC,3.5% NaCl solution at 25 degC,Corrosion Potential,-0.41,VSCE
Cu0.5CoCrFeNi,1350 degC,3.5% NaCl solution at 25 degC,Corrosion Current Density,4.58 x 10-8,A cm-2
Cu0.5CoCrFeNi,1350 degC,3.5% NaCl solution at 25 degC,Pitting Potential,0.05,VSCE
CoCrFeNiTi,As-cast,Dendrite,Chemical Composition,Co: 19.4; Cr: 27.48; Fe: 23.69; Ni: 14.44; Ti: 14.99,wt%
CoCrFeNiTi,As-cast,Interdendrite,Chemical Composition,Co: 21.67; Cr: 12.41; Fe: 17.76; Ni: 23.36; Ti: 24.78,wt%
CoCrFeNiTi,As-annealed,Dendrite,Chemical Composition,Co: 22.58; Cr: 24.56; Fe: 24.39; Ni: 20.85; Ti: 7.62,wt%
CoCrFeNiTi,As-annealed,Interdendrite,Chemical Composition,Co: 22.44; Cr: 20.75; Fe: 19.41; Ni: 21.1; Ti: 16.3,wt%
CoCrFeNiTiAl0.5,-,Nominal,Chemical Composition,Co: 18.2; Cr: 18.2; Fe: 18.2; Ni: 18.2; Ti: 18.2; Al: 9.0,at%
CoCrFeNiTiAl0.5,-,E(A),Chemical Composition,Co: 13.62; Cr: 36.18; Fe: 26.93; Ni: 10.45; Ti: 8.64; Al: 3.04,at%
CoCrFeNiTiAl0.5,-,Dendrite,Chemical Composition,Co: 24.66; Cr: 5.13; Fe: 9.82; Ni: 26.62; Ti: 20.36; Al: 12.62,at%
CoCrFeNiTiAl0.5,-,Interdendrite,Chemical Composition,Co: 15.55; Cr: 27.58; Fe: 31.63; Ni: 10.78; Ti: 12.75; Al: 1.97,at%
CoCrFeNiTiAl1.0,-,Nominal,Chemical Composition,Co: 16.6; Cr: 16.6; Fe: 16.7; Ni: 16.7; Ti: 16.7; Al: 16.7,at%
CoCrFeNiTiAl1.0,-,E(A),Chemical Composition,Co: 14.71; Cr: 33.52; Fe: 27.39; Ni: 12.53; Ti: 8.54; Al: 6.36,at%
CoCrFeNiTiAl1.0,-,Dendrite,Chemical Composition,Co: 21.91; Cr: 13.08; Fe: 14.44; Ni: 22.47; Ti: 17.51; Al: 20.31,at%
CoCrFeNiTiAl1.0,-,Interdendrite,Chemical Composition,Co: 16.41; Cr: 24.92; Fe: 29.33; Ni: 14.11; Ti: 13.25; Al: 5.24,at%
CoCrFeNiTiAl1.5,-,Nominal,Chemical Composition,Co: 15.4; Cr: 15.4; Fe: 15.4; Ni: 15.4; Ti: 15.4; Al: 23.0,at%
CoCrFeNiTiAl1.5,-,Dendrite,Chemical Composition,Co: 22.87; Cr: 9.49; Fe: 14.44; Ni: 22.51; Ti: 17.4; Al: 24.55,at%
CoCrFeNiTiAl1.5,-,Interdendrite,Chemical Composition,Co: 15.9; Cr: 23.27; Fe: 22.18; Ni: 15.12; Ti: 14.2; Al: 13.89,at%
CoCrFeNiTiAl2.0,-,Nominal,Chemical Composition,Co: 14.3; Cr: 14.3; Fe: 14.3; Ni: 14.3; Ti: 14.3; Al: 28.5,at%
CoCrFeNiTiAl2.0,-,Dendrite,Chemical Composition,Co: 17.64; Cr: 9.63; Fe: 11.84; Ni: 18.81; Ti: 17.29; Al: 30.63,at%
CoCrFeNiTiAl2.0,-,Interdendrite,Chemical Composition,Co: 8.75; Cr: 42.89; Fe: 28.87; Ni: 4.79; Ti: 5.13; Al: 11.21,at%
CoCrFeNiTiAl0.5,-,Nominal,Chemical Composition,Co: 18.2; Cr: 18.2; Fe: 18.2; Ni: 18.2; Ti: 18.2; Al: 9.0,at%
CoCrFeNiTiAl0.5,-,Dendrite,Chemical Composition,Co: 20.55; Cr: 5.16; Fe: 9.83; Ni: 26.8; Ti: 20.35; Al: 12.77,at%
CoCrFeNiTiAl0.5,-,Interdendrite,Chemical Composition,Co: 13.28; Cr: 36.3; Fe: 33.86; Ni: 7.1; Ti: 7.99; Al: 0.67,at%
CoCrFeNiTiAl1.0,-,Nominal,Chemical Composition,Co: 16.6; Cr: 16.6; Fe: 16.7; Ni: 16.7; Ti: 16.7; Al: 16.7,at%
CoCrFeNiTiAl1.0,-,Dendrite,Chemical Composition,Co: 24.25; Cr: 5.66; Fe: 10.13; Ni: 26.35; Ti: 20.62; Al: 18.46,at%
CoCrFeNiTiAl1.0,-,Interdendrite,Chemical Composition,Co: 15.55; Cr: 29.74; Fe: 33.05; Ni: 10.02; Ti: 10.27; Al: 6.05,at%
CoCrFeNiTiAl1.5,-,Nominal,Chemical Composition,Co: 15.4; Cr: 15.4; Fe: 15.4; Ni: 15.4; Ti: 15.4; Al: 23.0,at%
CoCrFeNiTiAl1.5,-,Dendrite,Chemical Composition,Co: 26.06; Cr: 6.31; Fe: 10.99; Ni: 23.84; Ti: 18.11; Al: 25.36,at%
CoCrFeNiTiAl1.5,-,Interdendrite,Chemical Composition,Co: 14.98; Cr: 26.31; Fe: 23.14; Ni: 13.97; Ti: 13.01; Al: 9.73,at%
CoCrFeNiTiAl2.0,-,Nominal,Chemical Composition,Co: 14.3; Cr: 14.3; Fe: 14.3; Ni: 14.3; Ti: 14.3; Al: 28.5,at%
CoCrFeNiTiAl2.0,-,Dendrite,Chemical Composition,Co: 18.96; Cr: 7.99; Fe: 12.45; Ni: 20.67; Ti: 12.26; Al: 27.67,at%
CoCrFeNiTiAl2.0,-,Interdendrite,Chemical Composition,Co: 9.35; Cr: 41.31; Fe: 28.15; Ni: 5.57; Ti: 5.28; Al: 10.34,at%
CoCrFeNiCu,-,-,Mixing Enthalpy,3.2,KJ/mol
CoCrFeNiCu,-,-,Mixing Entropy,13.38,J/K*mol
CoCrFeNiAl,-,-,Mixing Enthalpy,-12.32,KJ/mol
CoCrFeNiAl,-,-,Mixing Entropy,13.38,J/K*mol
CoCrFeNiMn,-,-,Mixing Enthalpy,-4.8,KJ/mol
CoCrFeNiMn,-,-,Mixing Entropy,13.38,J/K*mol
CoCrFeNiTi,-,-,Mixing Enthalpy,-16.16,KJ/mol
CoCrFeNiTi,-,-,Mixing Entropy,13.38,J/K*mol
CrFeNiCuAl,-,-,Mixing Enthalpy,-4.64,KJ/mol
CrFeNiCuAl,-,-,Mixing Entropy,13.38,J/K*mol
CoCrFeNiV,-,-,Mixing Enthalpy,-8.8,KJ/mol
CoCrFeNiV,-,-,Mixing Entropy,13.38,J/K*mol
CoCrFeNiCuAl,-,-,Mixing Enthalpy,-4.78,KJ/mol
CoCrFeNiCuAl,-,-,Mixing Entropy,14.9,J/K*mol
CoCrFeNiTiAl,-,-,Mixing Enthalpy,-20.44,KJ/mol
CoCrFeNiTiAl,-,-,Mixing Entropy,14.9,J/K*mol
CoCrFeNiMnAl,-,-,Mixing Enthalpy,-11.89,KJ/mol
CoCrFeNiMnAl,-,-,Mixing Entropy,14.9,J/K*mol
CoCrFeNiCuAlTi,-,-,Mixing Enthalpy,-13.8,KJ/mol
CoCrFeNiCuAlTi,-,-,Mixing Entropy,16.18,J/K*mol
CoCrFeNiCuAlMn,-,-,Mixing Enthalpy,-5.5,KJ/mol
CoCrFeNiCuAlMn,-,-,Mixing Entropy,16.18,J/K*mol
CoCrFeNiCuAlMnTiV,-,-,Mixing Enthalpy,-12.59,KJ/mol
CoCrFeNiCuAlMnTiV,-,-,Mixing Entropy,18.27,J/K*mol
FeNiCoCr,-,-,Melting Point,1422,°C
FeNiCo,-,-,Melting Point,1451,°C
FeNiCr,-,-,Melting Point,1391,°C
NiCoCr,-,-,Melting Point,1417,°C
FeNi,-,-,Melting Point,1430,°C
NiCo,-,-,Melting Point,1462,°C
Ni,-,-,Melting Point,1455,°C
FeNiCoCr,-,-,Hall-Petch Coefficient,165.5,HV mm-2
FeNiCo,-,-,Hall-Petch Coefficient,131.1,HV mm-2
NiCoCr,-,-,Hall-Petch Coefficient,197.3,HV mm-2
FeNi,-,-,Hall-Petch Coefficient,113.4,HV mm-2
NiCo,-,-,Hall-Petch Coefficient,167.1,HV mm-2
Ni,-,-,Hall-Petch Coefficient,34.3,HV mm-2
Co-Cr,-,-,Mixing Enthalpy,-4,kJ/mol
Co-Fe,-,-,Mixing Enthalpy,-1,kJ/mol
Co-Ni,-,-,Mixing Enthalpy,0,kJ/mol
Co-Nb,-,-,Mixing Enthalpy,-25,kJ/mol
Cr-Fe,-,-,Mixing Enthalpy,-1,kJ/mol
Cr-Ni,-,-,Mixing Enthalpy,-7,kJ/mol
Cr-Nb,-,-,Mixing Enthalpy,-7,kJ/mol
Fe-Ni,-,-,Mixing Enthalpy,-2,kJ/mol
Fe-Nb,-,-,Mixing Enthalpy,-16,kJ/mol
Ni-Nb,-,-,Mixing Enthalpy,-30,kJ/mol
CoCrFeNiNb0,-,Nominal,Chemical Composition,Cr: 25.0; Fe: 25.0; Co: 25.0; Ni: 25.0; Nb: 0.0,wt%
CoCrFeNiNb0,-,Region A,Chemical Composition,Cr: 20.23; Fe: 30.21; Co: 25.23; Ni: 24.32; Nb: 0.0,wt%
CoCrFeNiNb0,-,Region B,Chemical Composition,Cr: 20.83; Fe: 26.12; Co: 25.43; Ni: 27.63; Nb: 0.0,wt%
CoCrFeNiNb0.103,-,Nominal,Chemical Composition,Cr: 24.37; Fe: 24.37; Co: 24.37; Ni: 24.37; Nb: 2.52,wt%
CoCrFeNiNb0.103,-,Base,Chemical Composition,Cr: 21.3; Fe: 28.46; Co: 24.68; Ni: 23.84; Nb: 1.73,wt%
CoCrFeNiNb0.103,-,Precipitate,Chemical Composition,Cr: 14.57; Fe: 18.39; Co: 23.14; Ni: 22.74; Nb: 21.17,wt%
CoCrFeNiNb0.155,-,Nominal,Chemical Composition,Cr: 24.07; Fe: 24.07; Co: 24.07; Ni: 24.07; Nb: 3.72,wt%
CoCrFeNiNb0.155,-,Base,Chemical Composition,Cr: 21.11; Fe: 27.49; Co: 25.11; Ni: 24.47; Nb: 1.82,wt%
CoCrFeNiNb0.155,-,Precipitate,Chemical Composition,Cr: 12.51; Fe: 16.9; Co: 23.25; Ni: 19.43; Nb: 27.91,wt%
CoCrFeNiNb0.206,-,Nominal,Chemical Composition,Cr: 23.78; Fe: 23.78; Co: 23.78; Ni: 23.78; Nb: 4.88,wt%
CoCrFeNiNb0.206,-,Base,Chemical Composition,Cr: 20.46; Fe: 26.39; Co: 25.1; Ni: 24.94; Nb: 3.1,wt%
CoCrFeNiNb0.206,-,Precipitate,Chemical Composition,Cr: 16.44; Fe: 21.42; Co: 23.94; Ni: 22.76; Nb: 15.43,wt%
CoCrFeNiNb0.309,-,Nominal,Chemical Composition,Cr: 23.21; Fe: 23.21; Co: 23.21; Ni: 23.21; Nb: 7.16,wt%
CoCrFeNiNb0.309,-,Base,Chemical Composition,Cr: 21.68; Fe: 27.68; Co: 23.34; Ni: 24.15; Nb: 3.16,wt%
CoCrFeNiNb0.309,-,Precipitate,Chemical Composition,Cr: 13.65; Fe: 17.26; Co: 24.19; Ni: 20.41; Nb: 24.5,wt%
CoCrFeNiNb0.412,-,Nominal,Chemical Composition,Cr: 22.67; Fe: 22.67; Co: 22.67; Ni: 22.67; Nb: 9.32,wt%
CoCrFeNiNb0.412,-,Base,Chemical Composition,Cr: 22.05; Fe: 28.43; Co: 23.07; Ni: 22.6; Nb: 3.85,wt%
CoCrFeNiNb0.412,-,Precipitate,Chemical Composition,Cr: 13.92; Fe: 19.7; Co: 22.18; Ni: 17.45; Nb: 26.75,wt%
CoCrFeNiNb0,-,-,Ultimate Tensile Strength,413,MPa
CoCrFeNiNb0.103,-,-,Ultimate Tensile Strength,622,MPa
CoCrFeNiNb0.155,-,-,Ultimate Tensile Strength,744,MPa
CoCrFeNiNb0.206,-,-,Ultimate Tensile Strength,807,MPa
CoCrFeNiNb0.309,-,-,Ultimate Tensile Strength,879,MPa
CoCrFeNiNb0.412,-,-,Ultimate Tensile Strength,1004,MPa
Nb0,-,-,Mixing Enthalpy,-3.7,kJ/mol
Nb0.103,-,-,Mixing Enthalpy,-5.5,kJ/mol
Nb0.155,-,-,Mixing Enthalpy,-6.3,kJ/mol
Nb0.206,-,-,Mixing Enthalpy,-7.0,kJ/mol
Nb0.309,-,-,Mixing Enthalpy,-8.4,kJ/mol
Nb0.412,-,-,Mixing Enthalpy,-9.7,kJ/mol
Nb0,-,-,Valence Electron Concentration,8.25,-
Nb0.103,-,-,Valence Electron Concentration,8.17,-
Nb0.155,-,-,Valence Electron Concentration,8.13,-
Nb0.206,-,-,Valence Electron Concentration,8.09,-
Nb0.309,-,-,Valence Electron Concentration,8.02,-
Nb0.412,-,-,Valence Electron Concentration,7.95,-
C-0,-,Designed,Chemical Composition,Al: 0.0; Co: 25.0; Cr: 25.0; Fe: 25.0; Ni: 25.0,at%
C-0,-,Overall (FCC),Chemical Composition,Al: 0.0; Co: 24.16; Cr: 26.82; Fe: 24.48; Ni: 24.66,at%
C-0.25,-,Designed,Chemical Composition,Al: 5.88; Co: 23.53; Cr: 23.53; Fe: 23.53; Ni: 23.53,at%
C-0.25,-,Overall (FCC),Chemical Composition,Al: 5.61; Co: 23.14; Cr: 24.58; Fe: 24.1; Ni: 22.58,at%
C-0.375,-,Designed,Chemical Composition,Al: 8.57; Co: 22.86; Cr: 22.86; Fe: 22.86; Ni: 22.86,at%
C-0.375,-,Overall (FCC),Chemical Composition,Al: 7.82; Co: 22.61; Cr: 23.68; Fe: 23.34; Ni: 22.55,at%
C-0.50,-,Designed,Chemical Composition,Al: 11.11; Co: 22.22; Cr: 22.22; Fe: 22.22; Ni: 22.22,at%
C-0.50,-,Overall,Chemical Composition,Al: 12.4; Co: 21.02; Cr: 22.8; Fe: 20.91; Ni: 22.87,at%
C-0.50,-,FCC (87.83%),Chemical Composition,Al: 10.36; Co: 21.8; Cr: 23.5; Fe: 21.83; Ni: 22.52,at%
C-0.50,-,BCC (12.16%),Chemical Composition,Al: 16.93; Co: 18.65; Cr: 24.07; Fe: 18.5; Ni: 21.86,at%
C-0.75,-,Designed,Chemical Composition,Al: 15.79; Co: 21.05; Cr: 21.05; Fe: 21.05; Ni: 21.05,at%
C-0.75,-,Overall,Chemical Composition,Al: 15.0; Co: 21.04; Cr: 22.29; Fe: 21.16; Ni: 20.51,at%
C-0.75,-,FCC (27.28%),Chemical Composition,Al: 13.19; Co: 21.6; Cr: 23.89; Fe: 22.43; Ni: 18.88,at%
C-0.75,-,BCC (72.72%),Chemical Composition,Al: 15.86; Co: 20.99; Cr: 22.27; Fe: 20.8; Ni: 22.07,at%
C-0.875,-,Designed,Chemical Composition,Al: 17.95; Co: 20.51; Cr: 20.51; Fe: 20.51; Ni: 20.51,at%
C-0.875,-,Overall (BCC),Chemical Composition,Al: 16.18; Co: 20.56; Cr: 21.83; Fe: 21.33; Ni: 20.1,at%
C-1.00,-,Designed,Chemical Composition,Al: 20.0; Co: 20.0; Cr: 20.0; Fe: 20.0; Ni: 20.0,at%
C-1.00,-,Overall (BCC),Chemical Composition,Al: 18.26; Co: 19.78; Cr: 21.12; Fe: 20.68; Ni: 20.17,at%
C-1.25,-,Designed,Chemical Composition,Al: 23.81; Co: 19.05; Cr: 19.05; Fe: 19.05; Ni: 19.05,at%
C-1.25,-,Overall (BCC),Chemical Composition,Al: 23.03; Co: 19.36; Cr: 19.28; Fe: 18.74; Ni: 19.59,at%
C-1.50,-,Designed,Chemical Composition,Al: 27.27; Co: 18.18; Cr: 18.18; Fe: 18.18; Ni: 18.18,at%
C-1.50,-,Overall (BCC),Chemical Composition,Al: 27.79; Co: 18.17; Cr: 18.3; Fe: 18.08; Ni: 17.66,at%
C-2.00,-,Designed,Chemical Composition,Al: 33.33; Co: 16.67; Cr: 16.67; Fe: 16.67; Ni: 16.67,at%
C-2.00,-,Overall (BCC),Chemical Composition,Al: 32.01; Co: 16.79; Cr: 17.6; Fe: 16.78; Ni: 16.81,at%
C-0,-,FCC phase,Lattice Constants,3.559,A
C-0,-,-,Hardness,116.0±3,Hv
C-0.25,-,FCC phase,Lattice Constants,3.567,A
C-0.25,-,-,Hardness,110.0±2,Hv
C-0.375,-,FCC phase,Lattice Constants,3.560,A
C-0.375,-,-,Hardness,130.8±0.5,Hv
C-0.50,-,FCC phase,Lattice Constants,3.574,A
C-0.50,-,BCC phase,Lattice Constants,2.854,A
C-0.50,-,-,Hardness,159.0±2,Hv
C-0.75,-,FCC phase,Lattice Constants,3.569,A
C-0.75,-,BCC phase,Lattice Constants,2.861,A
C-0.75,-,-,Hardness,388.0±5,Hv
C-0.875,-,BCC phase,Lattice Constants,2.860,A
C-0.875,-,-,Hardness,538.0±12,Hv
C-1.00,-,BCC phase,Lattice Constants,2.869,A
C-1.00,-,-,Hardness,484.0±26,Hv
C-1.25,-,BCC phase,Lattice Constants,2.860,A
C-1.25,-,-,Hardness,487.0±19,Hv
C-1.50,-,BCC phase,Lattice Constants,2.866,A
C-1.50,-,-,Hardness,484.0±5,Hv
C-2.00,-,BCC phase,Lattice Constants,2.867,A
C-2.00,-,-,Hardness,509.0±27,Hv
H-0,Designed,-,Chemical Composition,Al: 0.0; Co: 25.0; Cr: 25.0; Fe: 25.0; Ni: 25.0,at%
H-0,Overall (FCC),-,Chemical Composition,Al: 0.0; Co: 24.47; Cr: 26.05; Fe: 25.09; Ni: 24.4,at%
H-0.25,Designed,-,Chemical Composition,Al: 5.88; Co: 23.53; Cr: 23.53; Fe: 23.53; Ni: 23.53,at%
H-0.25,Overall (FCC),-,Chemical Composition,Al: 5.89; Co: 23.21; Cr: 24.49; Fe: 23.82; Ni: 22.59,at%
H-0.375,Designed,-,Chemical Composition,Al: 8.57; Co: 22.86; Cr: 22.86; Fe: 22.86; Ni: 22.86,at%
H-0.375,Overall,-,Chemical Composition,Al: 8.03; Co: 22.63; Cr: 23.44; Fe: 23.22; Ni: 22.69,at%
H-0.375,FCC (78.85%),-,Chemical Composition,Al: 6.2; Co: 23.34; Cr: 24.75; Fe: 24.19; Ni: 21.52,at%
H-0.375,N-BCC (21.15%),-,Chemical Composition,Al: 15.78; Co: 19.88; Cr: 18.1; Fe: 19.14; Ni: 27.1,at%
H-0.50,Designed,-,Chemical Composition,Al: 11.11; Co: 22.22; Cr: 22.22; Fe: 22.22; Ni: 22.22,at%
H-0.50,Overall,-,Chemical Composition,Al: 12.1; Co: 22.63; Cr: 21.55; Fe: 21.66; Ni: 22.06,at%
H-0.50,FCC (75.51%),-,Chemical Composition,Al: 7.81; Co: 22.9; Cr: 25.24; Fe: 24.02; Ni: 20.03,at%
H-0.50,N-BCC (24.49%),-,Chemical Composition,Al: 29.51; Co: 16.42; Cr: 9.44; Fe: 12.04; Ni: 32.6,at%
H-0.75,Designed,-,Chemical Composition,Al: 15.79; Co: 21.05; Cr: 21.05; Fe: 21.05; Ni: 21.05,at%
H-0.75,Overall,-,Chemical Composition,Al: 15.66; Co: 21.19; Cr: 21.54; Fe: 20.92; Ni: 20.69,at%
H-0.75,FCC (57.65%),-,Chemical Composition,Al: 7.84; Co: 22.68; Cr: 27.77; Fe: 25.61; Ni: 16.1,at%
